id,item,unit,category,subcategory,synonyms,notes,tags
1,Papa,kg,Frutas y Verduras,Frutas y Verduras,"papa amarilla, papa blanca, papa yungay, papa huayro, papa canchan","papa amarilla, papa blanca, papa yungay, papa huayro, papa canchan",
2,Camote,kg,Frutas y Verduras,Frutas y Verduras,"camote amarillo, camote morado",,
3,Cebolla,kg,Frutas y Verduras,Frutas y Verduras,"cebolla roja, cebolla blanca, cebolla morada",,
4,Kion,u,Frutas y Verduras,Frutas y Verduras,jengibre,,
5,Tomate,kg,Frutas y Verduras,Frutas y Verduras,"tomate italiano, tomate cherry",,
6,Zanahoria,kg,Frutas y Verduras,Frutas y Verduras,,,
7,Pimiento,u,Frutas y Verduras,Frutas y Verduras,"pimiento morrón, pimiento rojo, pimiento verde, pimiento amarillo, capsicum",,
8,Ají amarillo,kg,Frutas y Verduras,Frutas y Verduras,ají mirasol,,
9,Lechuga,u,Frutas y Verduras,Frutas y Verduras,,,
10,Pepino,u,Frutas y Verduras,Frutas y Verduras,,,
11,Ajo,u,Frutas y Verduras,Frutas y Verduras,"ajo entero, cabeza de ajo, diente de ajo",,
12,Limón,kg,Frutas y Verduras,Frutas y Verduras,,,
13,Zapallo,kg,Frutas y Verduras,Frutas y Verduras,,,
14,Apio,u,Frutas y Verduras,Frutas y Verduras,,,
15,Verduras Picadas,u,Frutas y Verduras,Frutas y Verduras,,"Zanahoria, Chochlo, Arverjita",
16,Fruta,u,Frutas y Verduras,Frutas y Verduras,"Manzana, Naranja, Mandarina, Mango, Sandía, Plátano, Palta",,
17,Cebolla china,g,Frutas y Verduras,Frutas y Verduras,,,
18,Pollo,u,Carnes,Carnes,pollo entero,,
19,Carne Molida,kg,Carnes,Carnes,,,
20,Bisteck,u,Carnes,Carnes,,,
21,Chuleta,u,Carnes,Carnes,,,
22,Carne en Presas,kg,Carnes,Carnes,,,
23,Milanesa de Pollo,u,Carnes,Carnes,,,
24,Hamburguesa,u,Carnes,Carnes,,,
25,Filete de Pescado,kg,Carnes,Carnes,,Bonito,
26,Azúcar,kg,Abarrotes,Abarrotes,,,
27,Arroz,kg,Abarrotes,Abarrotes,,,
28,Leche,latas,Abarrotes,Abarrotes,,,
29,Huevos,u,Abarrotes,Abarrotes,,,
30,Sal,kg,Abarrotes,Abarrotes,,,
31,Milo,g,Abarrotes,Abarrotes,"chocolisto, colacao",,
32,Mantequilla,g,Abarrotes,Abarrotes,,,
33,Queso,g,Abarrotes,Abarrotes,,,
34,Jamonada,g,Abarrotes,Abarrotes,,,
35,Mermelada,g,Abarrotes,Abarrotes,,,
36,Aceite,l,Abarrotes,Abarrotes,,,
37,Hotdogs,u,Abarrotes,Abarrotes,,,
38,Atún,latas,Abarrotes,Abarrotes,,"Aceite, filete, Agua, Trozos, Florida",
39,Galleta de soda,paquetes,Abarrotes,Abarrotes,,,
40,Mayonesa,g,Abarrotes,Abarrotes,,,
41,Spaghetti,kg,Abarrotes,Abarrotes,,,
42,Cabello de Ángel,kg,Abarrotes,Abarrotes,,,
43,Avena Preparada,kg,Abarrotes,Abarrotes,,,
44,Manzanilla,u,Abarrotes,Abarrotes,,,
45,Té,u,Abarrotes,Abarrotes,,,
46,Anís,u,Abarrotes,Abarrotes,,,
47,Café,kg,Abarrotes,Abarrotes,,,
48,Lentejas,kg,Abarrotes,Abarrotes,,,
49,Garbanzo,kg,Abarrotes,Abarrotes,,,
50,Frejoles Rojos,kg,Abarrotes,Abarrotes,,,
51,Frejoles Blancos,kg,Abarrotes,Abarrotes,,,
52,Arverjita Verde,kg,Abarrotes,Abarrotes,,Empaquetada,
53,Harina Preparada,kg,Abarrotes,Abarrotes,,,
54,Maicena,g,Abarrotes,Abarrotes,,,
55,Canchita,kg,Abarrotes,Abarrotes,,,
56,Salsa (Ocopa),g,Abarrotes,Abarrotes,,,
57,Salsa (Alfredo),g,Abarrotes,Abarrotes,,,
58,Salsa (Pesto),g,Abarrotes,Abarrotes,,,
59,Salsa (Bolognesa),g,Abarrotes,Abarrotes,,,
60,Salsa (Pomarola),g,Abarrotes,Abarrotes,,,
61,Aji Panca,g,Abarrotes,Abarrotes,,,
62,Ajo Molido,g,Abarrotes,Abarrotes,"ajo molido piki, ajo en pasta, ajo procesado",,
63,Laurel,u,Abarrotes,Abarrotes,,,
64,Canela Entera,u,Abarrotes,Abarrotes,,,
65,Canela Molida,g,Abarrotes,Abarrotes,,,
66,Comino,g,Abarrotes,Abarrotes,,,
67,Pimienta,g,Abarrotes,Abarrotes,,,
68,Pechuga de Pollo,kg,Papá,Papá,,Pechuga,
69,Almendras,g,Papá,Papá,,,
70,Helado,l,Papá,Papá,,,
71,Avena,kg,Papá,Papá,,,
72,Gelatina,sobres,Papá,Papá,,Sobres 38g,
73,Servilletas,u,Limpieza,Limpieza,,,
74,Papel Higiénico,rollos,Limpieza,Limpieza,,,
75,Papel Toalla,rollos,Limpieza,Limpieza,,,
76,Detergente,kg,Limpieza,Limpieza,,,
77,Lejía Blanca,l,Limpieza,Limpieza,,,
78,Lejía Color,l,Limpieza,Limpieza,,,
79,Lavavajilla,l,Limpieza,Limpieza,,,
80,Jabón Líquido,l,Limpieza,Limpieza,,,
81,Quitagrasa,l,Limpieza,Limpieza,,,
82,Quitasarro,l,Limpieza,Limpieza,,,
83,Limpiavidrios,l,Limpieza,Limpieza,,,
84,Esponjas,u,Limpieza,Limpieza,,,
85,Paños Amarillos,u,Limpieza,Limpieza,,,
86,Bolsas de Basura 45L,u,Limpieza,Limpieza,,,
87,Bolsas de Basura 75L,u,Limpieza,Limpieza,,,
88,Bolsas de Basura 140L,u,Limpieza,Limpieza,,,
89,Gerber,u,Papá,Papá,,,
90,Espinaca,kg,Frutas y Verduras,Frutas y Verduras,,,
91,Delivery,s/.,Servicio,Servicio,"Servicio, Tarifa, Fee",,
92,Suerox,l,Papá,Papá,Electrolite,,
93,Wipes,u,Papá,Papá,"Pañitos Húmedos, Toallitas Húmedas, Baby Wipes",,Papá
94,Pan,u,Abarrotes,Abarrotes,"Panadero, Pan Frances",,
95,Jugo,l,Abarrotes,Abarrotes,,,
96,Máquina de Afeitar,u,Limpieza,Limpieza,"Gilette, afeitadora",,
97,Nuggets de Pollo,u,Carnes,Carnes,"Nuggets congelados, nuggets precocidos",,
