id,item,category,unit,purchases_per_month,qty_per_purchase,unit_price_usd,store
1,Banana,Produce,u,4,6,0.35,Trader Joe's
2,Apple,Produce,kg,2,1,3.5,Trader Joe's
3,Orange,Produce,kg,1.5,1,3.2,Key Food
4,Strawberries,Produce,u,2,1,4.5,Trader Joe's
5,Avocado,Produce,u,3,4,1.5,Trader Joe's
6,Lemon,Produce,u,1,4,0.6,Key Food
7,Tomato,Produce,kg,2,0.7,3.8,Key Food
8,Onion,Produce,kg,2,1,2.2,Key Food
9,Potato,Produce,kg,2,2,2.5,Key Food
10,Carrot,Produce,kg,1.5,0.7,2,Key Food
11,Broccoli,Produce,u,2,1,2.8,Whole Foods Market
12,Bell Pepper,Produce,u,2,2,1.5,Key Food
13,Garlic,Produce,u,1,2,1,Key Food
14,Salad Mix,Produce,u,3,1,4.5,Trader Joe's
15,Cucumber,Produce,u,1.5,2,1.2,Key Food
16,Spinach,Produce,u,1.5,1,3.5,Trader Joe's
17,Chicken Breast,Meat & Seafood,kg,3,1,9,Key Food
18,Ground Beef,Meat & Seafood,kg,2.5,0.7,11,Western Beef
19,Chicken Thighs,Meat & Seafood,kg,1.5,1,6.5,Key Food
20,Bacon,Meat & Seafood,u,2,1,6.5,Whole Foods Market
21,Salmon Fillet,Meat & Seafood,kg,1.5,0.5,22,Whole Foods Market
22,Shrimp,Meat & Seafood,kg,1,0.4,18,Whole Foods Market
23,Deli Turkey,Meat & Seafood,g,2,250,0.03,Key Food
24,Ground Turkey,Meat & Seafood,kg,1,0.6,8.5,Key Food
25,Milk,Pantry,u,3,1,4.5,Key Food
26,Eggs,Pantry,u,2,12,0.35,Key Food
27,Butter,Pantry,g,1,227,0.02,Key Food
28,Shredded Cheese,Pantry,g,2,226,0.02,Key Food
29,Greek Yogurt,Pantry,g,2.5,500,0.01,Trader Joe's
30,Cream Cheese,Pantry,g,1,227,0.015,Key Food
31,Bread,Pantry,u,3,1,4.5,Key Food
32,Bagels,Pantry,u,1.5,1,5,Trader Joe's
33,Cereal,Pantry,u,2,1,5.5,Key Food
34,Oatmeal,Pantry,kg,0.8,0.5,4.5,Trader Joe's
35,Coffee,Pantry,kg,1,0.34,16,Trader Joe's
36,Orange Juice,Pantry,u,1.5,1,5,Key Food
37,Sparkling Water,Pantry,u,2,1,6,Trader Joe's
38,Soda,Pantry,u,1,1,6.5,Key Food
39,Pasta,Pantry,kg,1.5,0.45,2.2,Key Food
40,Marinara Sauce,Pantry,u,1.5,1,4.5,Trader Joe's
41,Olive Oil,Pantry,u,0.6,1,9,Trader Joe's
42,Ketchup,Pantry,u,0.5,1,3.8,Key Food
43,Mayonnaise,Pantry,g,0.5,400,0.012,Key Food
44,Peanut Butter,Pantry,g,1,454,0.012,Trader Joe's
45,Jam,Pantry,g,0.5,340,0.015,Key Food
46,Rice,Pantry,kg,1,2,2.8,Key Food
47,Black Beans,Pantry,cans,1.5,2,1.3,Trader Joe's
48,Canned Tomatoes,Pantry,cans,1,2,2,Key Food
49,Tortilla Chips,Pantry,u,1.5,1,4,Trader Joe's
50,Salsa,Pantry,u,1,1,4,Trader Joe's
51,Crackers,Pantry,packs,1,1,4.5,Key Food
52,Granola Bars,Pantry,u,2,1,5.5,Trader Joe's
53,Cookies,Pantry,u,1.5,1,4.5,Key Food
54,Frozen Pizza,Pantry,u,2,1,6.5,Trader Joe's
55,Frozen Vegetables,Pantry,u,1.5,1,3.5,Trader Joe's
56,Ice Cream,Pantry,u,1,1,6.5,Trader Joe's
57,Paper Towels,Household,rolls,1,6,1.8,Costco Wholesale
58,Toilet Paper,Household,rolls,0.8,12,0.85,Costco Wholesale
59,Trash Bags,Household,u,0.6,1,9,Duane Reade
60,Dish Soap,Household,u,0.7,1,4.5,Duane Reade
61,Laundry Detergent,Household,u,0.6,1,13,Costco Wholesale
62,Dishwasher Pods,Household,u,0.5,1,10,Duane Reade
63,Aluminum Foil,Household,u,0.3,1,5,Duane Reade
64,Hand Soap,Household,u,0.6,1,4.5,Duane Reade
65,Diapers,Household,u,2,1,28,Duane Reade
66,Baby Wipes,Household,u,1.5,1,6.5,Duane Reade
67,Delivery,Service,s,6,1,8,FreshDirect
